2	1	12
4	2	4
6	3	40
8	3	21
10	4	148
12	4	121
14	4	169
16	5	168
18	6	151
20	7	1208
22	7	1261
24	9	1216
26	10	1245
28	11	1229
30	13	1368
32	15	1424
34	16	10678
36	17	10575
38	19	10294
40	20	10478
42	23	10743
44	25	10971
46	27	11130
48	30	10772
50	32	10863
52	34	11208
54	37	11077
56	39	11710
58	43	12131
60	47	11959
62	52	12266
64	54	11892
66	57	105674
68	61	106973
70	64	105389
72	76	106114
74	81	106170
76	85	105334
78	89	105931
80	94	103395
82	99	112773
84	105	107843
86	112	106870
88	125	103289
90	131	118350
92	144	118040
94	152	112436
96	160	109373
98	169	113785
100	176	110262
