4	1	1
6	0	1
8	0	2
10	0	2
12	0	2
14	1	2
16	1	2
18	1	2
20	2	2
22	1	1
24	1	1
26	0	2
28	1	2
30	1	1
32	1	1
34	1	1
36	0	4
38	1	2
40	2	4
42	1	4
44	0	3
46	0	3
48	0	3
50	2	2
52	0	2
54	1	2
56	1	3
58	0	3
60	0	3
62	1	2
64	0	3
66	1	2
68	1	7
70	1	7
72	1	8
74	2	6
76	1	7
78	1	8
80	2	6
82	1	7
84	2	7
86	2	7
88	3	7
90	1	7
92	1	7
94	1	7
96	2	7
98	2	8
100	3	7
102	2	7
104	3	7
106	2	7
108	3	7
110	3	8
112	4	7
114	3	8
116	3	8
118	5	8
120	3	7
122	4	7
124	3	7
126	5	7
128	5	7
130	4	7
132	6	25
134	4	24
136	5	24
138	6	24
140	7	23
142	6	23
144	7	23
146	7	24
148	8	24
150	7	24
152	6	23
154	10	24
156	8	23
158	10	24
160	10	24
162	11	24
164	10	24
166	12	24
168	11	23
170	12	25
172	13	24
174	12	24
176	13	25
178	11	24
180	11	24
182	13	24
184	15	25
186	15	24
188	13	23
190	14	23
192	16	24
194	18	25
196	16	24
198	18	25
200	16	24
202	16	29
204	22	24
206	19	25
208	18	24
210	17	25
212	21	25
214	17	25
216	18	24
218	19	25
220	23	24
222	21	24
224	19	26
226	19	24
228	28	24
230	24	24
232	29	25
234	23	26
236	27	24
238	23	25
240	26	25
242	30	25
244	34	25
246	29	24
248	31	25
250	28	25
252	29	24
254	31	25
256	39	25
